wire dia[mm] stn;opening[mm]
2;4, 5, 6, 7, 8, 9, 10, 11, 12, 5.7, 6.5, 4.5, 5.5, 11.5, 7.5, 6.3
3;6, 7, 8, 9, 9.5, 10, 11, 12, 13, 13.5, 14, 15, 16, 17, 18, 6.5, 11.5, 7.5, 12.5, 8.5
4;9, 9.5, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 30, 28, 24, 12.5, 26
5;12, 16, 18, 20, 21, 22, 23, 25, 30, 32, 28, 35, 24, 40, 22.5, 27, 26, 34, 36, 50, 33
1.5;4, 5, 9, 4.5, 3.6, 3.5, 3, 2.5
1.8;4, 5, 6, 7, 8, 5.7, 6.5, 4.5, 5.5, 7.5, 6.2, 3.6
2.5;5, 6, 7, 8, 9, 9.5, 10, 11, 12, 13, 13.5, 14, 5.7, 6.5, 5.5, 11.5, 7.5, 12.5
3.5;12, 13.5, 14, 15, 16, 18, 20, 11.5, 12.5
4.5;16, 18, 20, 21, 23, 25, 24, 27
5.5;22, 25, 30, 32, 35, 40, 37, 36
1.2;2.3, 3, 2.5
