opening[mm];wire dia[mm] std;wire dia[mm] stn;fi_std
2.3;1.2;1.2;0
2.5;1.2, 1.5;1.2, 1.5;0
3;1.2, 1.5;1.2, 1.5;0
3.5;1.5;1.5;0
3.6;1.5, 1.8;1.5, 1.8;0
4;1.5, 1.8, 2;1.5, 1.8, 2;1.8
4.5;1.5, 1.8, 2;1.5, 1.8, 2;1.8
5;1.5, 1.8, 2, 2.5;1.5, 1.8, 2, 2.5;2
5.5;1.8, 2, 2.5;1.8, 2, 2.5;2
5.7;1.8, 2, 2.5;1.8, 2, 2.5;2
6;1.8, 2, 2.5, 3;1.8, 2, 2.5, 3;2
6.2;1.8;1.8;0
6.3;2;2;0
6.5;1.8, 2, 2.5, 3;1.8, 2, 2.5, 3;2
7;1.8, 2, 2.5, 3;1.8, 2, 2.5, 3;2.5
7.5;1.8, 2, 2.5, 3;1.8, 2, 2.5, 3;2.5
8;1.8, 2, 2.5, 3;1.8, 2, 2.5, 3;2.5
8.5;3;3;0
9;1.5, 2, 2.5, 3, 4;1.5, 2, 2.5, 3, 4;2.5
9.5;2.5, 3, 4;2.5, 3, 4;3
10;2, 2.5, 3, 4;2, 2.5, 3, 4;3
11;2, 2.5, 3, 4;2, 2.5, 3, 4;3
11.5;2, 2.5, 3, 3.5;2, 2.5, 3, 3.5;3
12;2, 2.5, 3, 3.5, 4, 5;2, 2.5, 3, 3.5, 4, 5;3
12.5;2.5, 3, 3.5, 4;2.5, 3, 3.5, 4;0
13;2.5, 3;2.5, 3;3
13.5;2.5, 3, 3.5;2.5, 3, 3.5;3.5
14;2.5, 3, 3.5, 4;2.5, 3, 3.5, 4;3.5
15;3, 3.5, 4;3, 3.5, 4;3.5
16;3, 3.5, 4, 4.5, 5;3, 3.5, 4, 4.5, 5;3.5
17;3, 4;3, 4;4
18;3, 3.5, 4, 4.5, 5;3, 3.5, 4, 4.5, 5;4
19;4;4;4
20;3.5, 4, 4.5, 5;3.5, 4, 4.5, 5;4.5
21;4, 4.5, 5;4, 4.5, 5;5
22;4, 5, 5.5;4, 5, 5.5;5
22.5;5;5;0
23;4, 4.5, 5;4, 4.5, 5;5
24;4, 4.5, 5;4, 4.5, 5;4.5
25;4, 4.5, 5, 5.5;4, 4.5, 5, 5.5;5
26;4, 5;4, 5;0
27;4.5, 5;4.5, 5;0
28;4, 5;4, 5;5
30;4, 5, 5.5;4, 5, 5.5;5.5
32;5, 5.5;5, 5.5;5.5
33;5;5;0
34;5;5;0
35;5, 5.5;5, 5.5;5.5
36;5, 5.5;5, 5.5;5.5
37;5.5;5.5;0
40;5, 5.5;5, 5.5;5.5
50;5;5;5
