opening[mm];wire dia[mm] std;wire dia[mm] stn;fi_std
1.2;0.65;;0.65
1.5;0.65, 0.85;;0.65
1.7;0.65, 0.85;;0.85
1.8;0.85;;0.85
2;1, 0.65, 0.85;1;0.85
2.5;1, 1.1, 1.2, 0.65, 0.85;1, 1.2;1
3;1, 1.1, 1.2, 1.3, 0.65, 0.85;1, 1.2, 1.3;1
3.5;1, 1.1, 1.2, 1.3, 1.5, 0.65, 0.85;1, 1.2, 1.3, 1.4, 1.5;1
4;1, 1.1, 1.2, 1.3, 1.5, 1.8, 0.65, 0.85;1, 1.2, 1.3, 1.4, 1.5, 1.8, 1.6;1.2
5;1, 1.1, 1.2, 1.3, 1.5, 1.8, 0.65, 0.85;1, 1.2, 1.3, 1.4, 1.5, 1.8, 1.6;1.3
6;1, 1.1, 1.2, 1.3, 1.5, 1.8;1, 1.2, 1.3, 1.4, 1.5, 1.8, 1.6;1.3
7;1, 1.1, 1.2, 1.3, 1.5, 1.8;1, 1.2, 1.3, 1.4, 1.5, 1.8, 1.6;1.3
8;1, 2, 1.1, 1.2, 1.3, 1.5, 1.8;1, 2, 1.2, 1.3, 1.4, 1.5, 1.8, 1.6;1.5
9;2, 1.2, 1.3, 1.5, 1.8;2, 1.2, 1.3, 1.4, 1.5, 1.8, 1.6;1.5
10;2, 1.2, 1.3, 1.5, 1.8;2, 1.2, 1.3, 1.4, 1.5, 1.8, 1.6;1.8
11;2, 1.2, 1.3, 1.5, 1.8;2, 1.2, 1.3, 1.4, 1.5, 1.8, 1.6;1.8
12;2, 1.2, 1.3, 1.5, 1.8;2, 1.2, 1.3, 1.4, 1.5, 1.8, 1.6;1.8
13;2, 1.5, 1.8;2, 1.5, 1.8, 1.6;1.8
14;2, 1.5, 1.8;2, 1.5, 1.8, 1.6;1.8
15;2, 1.5, 1.8;2, 1.5, 1.8, 1.6;1.8
16;2, 1.8;2, 1.8;2
18;2, 1.8;2, 1.8;2
20;2, 1.8;2, 1.8;2
22;2, 1.8;2, 1.8;2
25;2;2;2
