wire dia[mm] std;opening[mm]
2;3.5, 4, 5, 6, 7, 8, 9, 10, 11, 12, 6.3, 4.5, 5.5, 6.5, 7.5, 8.5, 11.5, 7.3, 4.8
3;5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 12.5, 19, 20, 18, 7.5, 8.5, 7.3, 11.2
4;6, 10, 12, 14, 15, 19, 20, 18, 22
5;19, 20, 18, 22
1.2;2, 2.5, 3, 3.5, 2.4, 1.6, 3.2, 1.5, 1.8, 1.9, 1.7, 2.7, 2.3
1.3;2, 2.5, 3, 3.5, 4, 2.4, 3.15, 2.2, 2.8, 1.6, 3.2, 1.7, 2.7, 2.6, 2.3
1.4;2, 3, 2.4, 3.15
1.5;2, 2.5, 3, 3.5, 4, 5, 6, 8, 9, 6.3, 2.4, 4.5, 5.5, 6.5, 2.8, 1.6, 3.2, 1.5, 1.8, 2.3, 4.8
1.8;3, 3.5, 4, 5, 6, 7, 8, 9, 4.5, 5.5, 2.2, 7.5, 3.2, 6.2, 7.2, 5.2, 4.2, 8.2, 5.6, 4.8, 4.7
2.5;5, 6, 7, 8, 9, 9.5, 10, 11, 12, 13, 13.5, 14, 6.3, 4.5, 12.5, 5.5, 6.5, 7.5, 8.5, 11.5, 7.3, 4.8, 10.5
3.5;5, 6, 8, 9.5, 10, 11, 13.5, 15, 16, 5.5, 7.5, 14.5
4.5;16
