opening[mm];wire dia[mm] std;wire dia[mm] stn;fi_std
1.5;1.2, 1.5;1.2, 1.5;0
1.6;1.2, 1.3, 1.5;1.2, 1.3, 1.5;0
1.7;1.2, 1.3;1.2, 1.3;0
1.8;1.2, 1.5;1.2, 1.5;0
1.9;1.2;1.2;0
2;1.2, 1.3, 1.4, 1.5;1.2, 1.3, 1.4, 1.5;1.2
2.2;1.3, 1.8;1.3, 1.8;1.3
2.3;1.2, 1.3, 1.5;1.2, 1.3, 1.5;0
2.4;1.2, 1.3, 1.4, 1.5;1.2, 1.3, 1.4, 1.5;1.3
2.5;1.2, 1.3, 1.5;1.2, 1.3, 1.5;1.3
2.6;1.3;1.3;0
2.7;1.2, 1.3;1.2, 1.3;0
2.8;1.3, 1.5;1.3, 1.5;0
3;1.2, 1.3, 1.4, 1.5, 1.8;1.2, 1.3, 1.4, 1.5, 1.8;1.5
3.15;1.3, 1.4;1.3, 1.4;1.3
3.2;1.2, 1.3, 1.5, 1.8;1.2, 1.3, 1.5, 1.8;0
3.5;1.2, 1.3, 1.5, 1.8, 2;1.2, 1.3, 1.5, 1.8, 2;1.5
4;1.3, 1.5, 1.8, 2;1.3, 1.5, 1.8, 2;1.8
4.2;1.8;1.8;0
4.5;1.5, 1.8, 2, 2.5;1.5, 1.8, 2, 2.5;1.8
4.7;1.8;1.8;0
4.8;1.5, 1.8, 2, 2.5;1.5, 1.8, 2, 2.5;0
5;1.5, 1.8, 2, 2.5, 3, 3.5;1.5, 1.8, 2, 2.5, 3, 3.5;1.8
5.2;1.8;1.8;1.8
5.5;1.5, 1.8, 2, 2.5, 3.5;1.5, 1.8, 2, 2.5, 3.5;1.8
5.6;1.8;1.8;0
6;1.5, 1.8, 2, 2.5, 3, 3.5, 4;1.5, 1.8, 2, 2.5, 3, 3.5, 4;2
6.2;1.8;1.8;1.8
6.3;1.5, 2, 2.5;1.5, 2, 2.5;2
6.5;1.5, 2, 2.5;1.5, 2, 2.5;2
7;1.8, 2, 2.5, 3;1.8, 2, 2.5, 3;2.5
7.2;1.8;1.8;0
7.3;2, 2.5, 3;2, 2.5, 3;0
7.5;1.8, 2, 2.5, 3, 3.5;1.8, 2, 2.5, 3, 3.5;0
8;1.5, 1.8, 2, 2.5, 3, 3.5;1.5, 1.8, 2, 2.5, 3, 3.5;2.5
8.2;1.8;1.8;0
8.5;2, 2.5, 3;2, 2.5, 3;2.5
9;1.5, 1.8, 2, 2.5, 3;1.5, 1.8, 2, 2.5, 3;2.5
9.5;2.5, 3.5;2.5, 3.5;2.5
10;2, 2.5, 3, 3.5, 4;2, 2.5, 3, 3.5, 4;3
10.5;2.5;2.5;0
11;2, 2.5, 3, 3.5;2, 2.5, 3, 3.5;2.5
11.2;3;3;0
11.5;2, 2.5;2, 2.5;0
12;2, 2.5, 3, 4;2, 2.5, 3, 4;3
12.5;2.5, 3;2.5, 3;3
13;2.5, 3;2.5, 3;3.5
13.5;2.5, 3.5;2.5, 3.5;3.5
14;2.5, 3, 4;2.5, 3, 4;3
14.5;3.5;3.5;0
15;3, 3.5, 4;3, 3.5, 4;3
16;3.5, 4.5;3.5, 4.5;4
18;3, 4, 5;3, 4, 5;0
19;3, 4, 5;3, 4, 5;5
20;3, 4, 5;3, 4, 5;3
22;4, 5;4, 5;4
