opening[mm];wire dia[mm] std;wire dia[mm] stn;fi_std
26;10;;0
30;10, 12, 14;;10
31;10, 12, 14;;0
32;10, 12, 14;;10
33;10, 12, 14;;0
34;10, 12, 14;;10
35;10, 12, 14, 16;;10
36;10, 12, 14, 16, 20;;0
38;10, 12, 14, 16;;12
40;10, 12, 14, 16;;12
45;10, 12, 14, 16;;12
50;10, 12, 14, 16;;12
55;10, 12, 14, 16;;12
60;10, 12, 14, 16;;12
62;12, 14, 16;;12
63;10, 12, 14, 16;;12
65;10, 12, 14, 16;;12
67;12, 14, 16;;12
68;10, 12, 14, 16, 20;;0
70;10, 12, 14, 16, 20;;12
75;10, 12, 14, 16, 20;;12
80;10, 12, 14, 16, 20;;14
82;10, 12, 14, 16, 20;;0
85;10, 12, 14, 16, 20;;14
90;10, 12, 14, 16, 20;;14
93;10, 12, 14, 16, 20;;14
95;10, 12, 14, 16, 20;;14
100;10, 12, 14, 16, 20;;14
105;10, 12, 14, 16, 20;;14
110;10, 12, 14, 16, 20;;14
115;10, 12, 14, 16, 20;;0
120;10, 12, 14, 16, 20;;14
125;10, 12, 14, 16, 20;;14
130;10, 12, 14, 16, 20;;16
135;10, 12, 14, 16, 20;;0
140;10, 12, 14, 16, 20;;0
150;10, 12, 14, 16, 20;;16
155;10, 12, 14, 16, 20;;16
160;10, 12, 14, 16, 20;;0
170;10, 12, 14, 16, 20;;0
180;10, 12, 14, 16, 20;;20
200;10, 12, 14, 16, 20;;20
225;10, 12, 14, 16, 20;;0
230;14, 16, 20;;0
250;10, 12, 14, 16, 20;;0
300;10, 12, 14, 16, 20;;0
350;10, 12, 14, 16, 20;;0
