wire dia[mm] stn;opening[mm]
1;2.5, 3, 1.5
2;3.5, 3.8, 4, 4.5, 5, 5.5, 6, 6.5, 7, 8, 10, 15, 16, 20, 11.9, 4.8, 24.5, 26.5
3;6, 6.3, 6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10, 11, 12, 12.5, 15, 25, 40, 23
4;9, 10, 11, 11.5, 12, 12.5, 13, 13.5, 14, 15, 15.5, 16, 16.5, 18, 19, 20, 21, 25, 30, 40, 14.5, 27.5, 30.5
5;13, 14, 15.5, 16, 17, 18, 19, 19.5, 20, 20.5, 21, 22, 24, 25, 27, 32, 40, 50, 14.5, 21.5
6;17, 18, 20, 20.5, 21, 22, 24, 25, 26, 27, 28, 29, 30, 35, 40, 50, 14.5
1.2;1.8, 2, 2.2, 2.5, 2.7, 3, 3.8, 10, 1.5, 3.3, 3.2, 3.4, 1.6, 2.3, 2.8
1.5;1.8, 2, 2.5, 2.6, 3, 3.1, 3.5, 3.8, 4, 4.5, 5, 6, 8, 10, 3.3, 5.8, 3.7, 2.3, 2.8
1.3;2.7, 3, 2.3
1.4;3, 3.6, 1.9, 2.1
1.8;3.6, 3.8, 4, 8, 10, 4.7, 5.2, 6.7
2.5;5, 5.5, 6, 6.5, 7, 7.5, 8, 9, 9.5, 10, 11.5, 14.3
3.5;8, 9, 9.5, 10.5, 11.5, 12.5
4.5;13.5, 14, 15, 15.5, 16.5, 18, 18.5, 19, 25, 17.5, 27.5
5.5;14, 18, 20, 21, 22, 24, 25, 26, 30, 32, 35, 45, 23, 23.5, 21.5
